Station,Line,Latitude,Longitude
Vaughan Metropolitan Centre,1,43.7941,-79.5275
Highway 407,1,43.7833,-79.5230
Pioneer Village,1,43.7769,-79.5091
York University,1,43.7741,-79.4997
Finch West,1,43.7647,-79.4913
Downsview Park,1,43.7536,-79.4786
Sheppard West,1,43.7491,-79.4622
Wilson,1,43.7344,-79.45
Yorkdale,1,43.7247,-79.4475
Lawrence West,1,43.7152,-79.4438
Glencairn,1,43.7086,-79.4405
Eglinton West,1,43.6993,-79.4359
St. Clair West,1,43.685,-79.4158
Dupont,1,43.6745,-79.4068
Spadina,1,43.6686,-79.4047
St. George,"1, 2",43.6683,-79.3988
Museum,1,43.6669,-79.3933
Queenâ€™s Park,1,43.6597,-79.3902
St. Patrick,1,43.6547,-79.3883
Osgoode,1,43.6508,-79.3866
St. Andrew,1,43.6477,-79.385
Union,1,43.6455,-79.3802
King,1,43.6488,-79.3777
Queen,1,43.6527,-79.3794
Dundas,1,43.6566,-79.3811
College,1,43.6605,-79.3827
Wellesley,1,43.6655,-79.3838
Bloor-Yonge,"1, 2",43.6708,-79.3855
Rosedale,1,43.6763,-79.3886
Summerhill,1,43.6816,-79.3905
St. Clair,1,43.6880,-79.3936
Davisville,1,43.6980,-79.3972
Eglinton,1,43.7061,-79.3985
Lawrence,1,43.7263,-79.4025
York Mills,1,43.744,-79.4067
Sheppard-Yonge,"1, 4",43.7615,-79.4109
North York Centre,1,43.7687,-79.4126
Finch,1,43.7813,-79.4159
Kipling,2,43.6375,-79.5355
Islington,2,43.6452,-79.5247
Royal York,2,43.6480,-79.5113
Old Mill,2,43.6497,-79.4944
Jane,2,43.65,-79.4838
Runnymede,2,43.6516,-79.4761
High Park,2,43.6538,-79.4669
Keele,2,43.6555,-79.4594
Dundas West,2,43.6569,-79.4530
Lansdowne,2,43.6591,-79.4427
Dufferin,2,43.6606,-79.4355
Ossington,2,43.6625,-79.4261
Christie,2,43.6641,-79.4183
Bathurst,2,43.6668,-79.4115
Spadina,2,43.6671,-79.4034
Bay,2,43.6702,-79.3902
Sherbourne,2,43.6726,-79.3767
Castle Frank,2,43.6736,-79.3691
Broadview,2,43.6769,-79.3583
Chester,2,43.6783,-79.3525
Pape,2,43.68,-79.345
Donlands,2,43.6811,-79.3377
Greenwood,2,43.6825,-79.3302
Coxwell,2,43.6841,-79.3230
Woodbine,2,43.6863,-79.3125
Main Street,2,43.6891,-79.3016
Victoria Park,2,43.695,-79.2888
Warden,2,43.7111,-79.2791
Kennedy,"2, 3",43.7325,-79.2638
Bayview,4,43.7668,-79.3874
Bessarion,4,43.7691,-79.3766
Leslie,4,43.7711,-79.3656
Don Mills,4,43.7753,-79.3459